datetime,INJCJC Index_CHG_PCT_1D,SPX Index_PCT_MEMBERS_WITH_NEW_52W_HIGHS,SPX Index_VOLUME,S5TELS Index_CHG_PCT_1D,VIX Index_VOLATILITY_60D,SPX Index_PCT_MEMBERS_WITH_NEW_8W_HIGHS,GBP Curncy_CHG_PCT_1D,S5AUCO Index_CHG_PCT_1D,VIX Index_RSI_14D,SPX Index_PCT_MEMB_PX_BLW_LWR_BOLL_BAND,S 1 Comdty_CHG_PCT_1D,SPX Index_VOLATILITY_260D,SX5E Index_CHG_PCT_1D,CPI CHNG Index_PX_LAST,VIX Index_RSI_30D,S5INDU Index_CHG_PCT_1D,day of week_,day of month_,VIX Index_CHG_PCT_1D
1993-01-04,8.9,4.8,139963500.0,-0.26,56.46,10.2,-0.6289,1.78,63.01,3.2,-1.1,10.07,-0.45,,43.78,0.38,2,4,6.28
1993-01-05,8.9,4.4,167843100.0,0.33,54.52,10.0,3.2978,1.34,59.56,5.4,0.49,9.98,1.06,,44.76,0.32,3,5,-0.07
1993-01-06,8.9,6.4,218849300.0,0.92,53.74,12.4,-0.4708,2.22,64.2,6.2,1.02,9.97,-0.01,,48.28,0.37,4,6,0.15
1993-01-07,8.9,9.0,231186700.0,0.02,55.29,18.2,-0.7258,-0.94,73.46,9.8,0.92,9.79,-0.52,,56.73,-0.27,5,7,10.1
1993-01-08,3.8,2.4,191369800.0,-0.87,56.43,6.2,0.0,0.14,66.07,12.8,0.04,9.79,-0.62,,55.54,-0.28,6,8,-6.45
1993-01-11,3.8,5.2,151430800.0,0.32,56.15,9.4,1.4034,1.01,60.91,7.2,0.04,9.8,-1.28,,51.67,0.07,2,11,-6.61
1993-01-12,3.8,4.8,169692300.0,0.38,56.15,8.0,-0.5536,-0.87,60.14,4.8,1.04,9.79,0.31,,50.93,-0.14,3,12,-0.62
1993-01-13,3.8,4.8,179011900.0,1.05,56.16,10.0,0.3301,-0.67,55.75,4.8,0.0,9.79,-0.17,,47.24,-0.18,4,13,-2.82
1993-01-14,3.8,8.0,208405400.0,1.12,56.35,14.6,-0.8065,0.39,53.99,4.6,-0.86,9.81,0.7,,46.29,0.4,5,14,-3.46
1993-01-15,-0.6,13.23,242362400.0,0.23,56.66,22.65,-0.4228,1.99,50.0,2.81,0.91,9.81,1.3,,45.54,0.24,6,15,-3.5
